"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.596897918391578,0.0407328912086695,14.6539541063694,1.54642165859749e-18
"2","room_conditionSmaller VE",0.00250472331426834,0.0563921343532633,0.0444161822033147,0.964773629552039
