"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"room_condition",1,7.20104636780174e-05,7.20104636780174e-05,0.00197279724151805,0.964773629552039
"Residuals",44,1.60607503657835,0.0365017053767807,NA,NA
