nsub,nbloque,itrial,distancia,respuesta
10.0,1.0,2.0,2.7,0.6
10.0,1.0,3.0,3.65,1.5
10.0,1.0,1.0,2.0,0.5
10.0,1.0,6.0,9.0,2.0
10.0,1.0,1.0,2.0,0.5
10.0,1.0,2.0,2.7,1.0
10.0,1.0,5.0,6.65,2.5
10.0,1.0,3.0,3.65,1.5
10.0,1.0,2.0,2.7,0.5
10.0,1.0,4.0,4.9,1.0
10.0,1.0,1.0,2.0,0.4
10.0,1.0,5.0,6.65,1.5
10.0,1.0,3.0,3.65,1.0
10.0,1.0,6.0,9.0,2.0
10.0,1.0,4.0,4.9,1.5
10.0,1.0,6.0,9.0,3.0
10.0,1.0,5.0,6.65,2.5
10.0,1.0,4.0,4.9,1.0
