subject,room_condition,target_distance,block,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_m,log_bias_unsigned_sd,log_bias_unsigned_sem,log_bias_unsigned_var,log_bias_unsigned_n,log_bias_unsigned_m
16,Congruent VE,3.65,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,2.1666666666666665,0.0790890779711816,0.045662100456621,0.006255082254331644,3,-0.4063926940639269,0.0790890779711816,0.045662100456621,0.006255082254331644,3,0.4063926940639269,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.05595102209737152,0.032303337669352145,0.003130516873740556,3,-0.2289595311231414,0.05595102209737152,0.032303337669352145,0.003130516873740556,3,0.2289595311231414
18,Congruent VE,3.65,1,0.7637626158259734,0.4409585518440985,0.5833333333333334,3,1.1666666666666667,0.20925003173314338,0.12081056214906807,0.043785575780321516,3,-0.680365296803653,0.20925003173314338,0.12081056214906807,0.043785575780321516,3,0.680365296803653,0.7637626158259734,0.4409585518440985,0.5833333333333334,3,0.30102999566398114,0.1737997490307514,0.09061905828945652,3,-0.5622928644564748,0.30102999566398114,0.1737997490307514,0.09061905828945652,3,0.5622928644564748
20,Congruent VE,3.65,1,0.3605551275463989,0.20816659994661327,0.12999999999999998,3,0.7999999999999999,0.09878222672504082,0.057031945190852966,0.009757928316757368,3,-0.7808219178082192,0.09878222672504082,0.057031945190852966,0.009757928316757368,3,0.7808219178082192,0.36055512754639885,0.20816659994661324,0.12999999999999992,3,0.19179369927169224,0.11073214390338565,0.03678482308032032,3,-0.6878764343238413,0.19179369927169224,0.11073214390338565,0.03678482308032032,3,0.6878764343238413
22,Congruent VE,3.65,1,2.516611478423583,1.4529663145135578,6.333333333333333,3,7.666666666666667,0.6894825968283789,0.39807296288042676,0.47538625132920487,3,1.100456621004566,0.6894825968283789,0.39807296288042676,0.47538625132920487,3,1.100456621004566,2.516611478423583,1.4529663145135578,6.333333333333332,3,0.15366390610145095,0.08871789755240209,0.023612596038355534,3,0.3050604659861794,0.15366390610145095,0.08871789755240209,0.023612596038355534,3,0.3050604659861794
24,Congruent VE,3.65,1,0,0,0,3,1,0,0,0,3,-0.726027397260274,0,0,0,3,0.726027397260274,0,0,0,3,0,0,0,3,-0.5622928644564748,0,0,0,3,0.5622928644564748
26,Congruent VE,3.65,1,0.11547005383792512,0.06666666666666665,0.013333333333333327,3,1.0666666666666667,0.031635631188472645,0.018264840182648404,0.001000813160693063,3,-0.7077625570776256,0.031635631188472645,0.018264840182648404,0.001000813160693063,3,0.7077625570776256,0.115470053837925,0.06666666666666658,0.013333333333333298,3,0.04571531372036622,0.02639374868254163,0.0020898899085515037,3,-0.5358991157739331,0.04571531372036622,0.02639374868254163,0.0020898899085515037,3,0.5358991157739331
28,Congruent VE,3.65,1,1.1547005383792515,0.6666666666666666,1.3333333333333333,3,4.333333333333333,0.31635631188472646,0.18264840182648404,0.10008131606930631,3,0.18721461187214614,0.11072470915965428,0.06392694063926943,0.01225996121849003,3,0.30593607305936077,0.4041451884327381,0.2333333333333334,0.1633333333333334,3,0.1280844353103852,0.0739495832054521,0.01640562256878025,3,0.06272755667409198,0.029736731692660615,0.017168510047577284,8.842732117612863e-4,3,0.11950862983196679
30,Congruent VE,3.65,1,1,0.5773502691896258,1,3,2,0.273972602739726,0.15817815594236323,0.07506098705197974,3,-0.4520547945205479,0.273972602739726,0.15817815594236323,0.07506098705197974,3,0.4520547945205479,1,0.5773502691896258,1,3,0.24127159022926034,0.13929821756667254,0.05821198025175611,3,-0.3029091143285935,0.24127159022926034,0.13929821756667254,0.05821198025175611,3,0.3029091143285935
32,Congruent VE,3.65,1,1,0.5773502691896258,1,3,2,0.273972602739726,0.15817815594236323,0.07506098705197974,3,-0.4520547945205479,0.273972602739726,0.15817815594236323,0.07506098705197974,3,0.4520547945205479,1,0.5773502691896258,1,3,0.24127159022926034,0.13929821756667254,0.05821198025175611,3,-0.3029091143285935,0.24127159022926034,0.13929821756667254,0.05821198025175611,3,0.3029091143285935
34,Congruent VE,3.65,1,1.5275252316519468,0.881917103688197,2.3333333333333335,3,3.3333333333333335,0.41850006346628676,0.24162112429813615,0.17514230312128606,3,-0.08675799086757989,0.14059182025881875,0.0811707252722885,0.019766059923687997,3,0.3333333333333333,0.5131601439446885,0.296273147243853,0.26333333333333336,3,0.1994079778260544,0.11512824967643144,0.039763541620676204,3,-0.0699191128832539,0.09053779597482098,0.05227202087789831,0.00819709249997831,3,0.16103720613628328
36,Congruent VE,3.65,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.8333333333333333,0.07908907797118164,0.04566210045662102,0.006255082254331649,3,-0.4977168949771689,0.07908907797118164,0.04566210045662102,0.006255082254331649,3,0.4977168949771689,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.07213341321301367,0.041646245536099954,0.005203229301759375,3,-0.3029091143285935,0.07213341321301367,0.041646245536099954,0.005203229301759375,3,0.3029091143285935
38,Congruent VE,3.65,1,1.0408329997330663,0.6009252125773316,1.0833333333333333,3,6.333333333333333,0.28515972595426475,0.16463704454173467,0.08131606930631137,3,0.7351598173515982,0.28515972595426475,0.16463704454173467,0.08131606930631137,3,0.7351598173515982,1.0408329997330663,0.6009252125773316,1.0833333333333333,3,0.06947809218897953,0.04011319522808897,0.004827205294220338,3,0.23556553663338783,0.06947809218897953,0.04011319522808897,0.004827205294220338,3,0.23556553663338783
40,Congruent VE,3.65,1,0,0,0,3,2,0,0,0,3,-0.4520547945205479,0,0,0,3,0.4520547945205479,0,0,0,3,0,0,0,3,-0.26126286879249355,0,0,0,3,0.26126286879249355
42,Congruent VE,3.65,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.3333333333333333,0.0790890779711816,0.045662100456621,0.006255082254331644,3,-0.634703196347032,0.0790890779711816,0.045662100456621,0.006255082254331644,3,0.634703196347032,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.10166633581773775,0.05869708635189379,0.010336043838605025,3,-0.4448986917526872,0.10166633581773775,0.05869708635189379,0.010336043838605025,3,0.4448986917526872
44,Congruent VE,3.65,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,2.6666666666666665,0.1581781559423632,0.091324200913242,0.025020329017326575,3,-0.2694063926940639,0.1581781559423632,0.091324200913242,0.025020329017326575,3,0.2694063926940639,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.10166633581773774,0.058697086351893774,0.010336043838605024,3,-0.143868696088706,0.10166633581773774,0.058697086351893774,0.010336043838605024,3,0.143868696088706
46,Congruent VE,3.65,1,0.3773813279253051,0.15406528197848832,0.14241666666666666,6,0.5416666666666666,0.1033921446370699,0.042209666295476254,0.010689935572652782,6,-0.8515981735159818,0.1033921446370699,0.042209666295476254,0.010689935572652782,6,0.8515981735159818,0.3773813279253051,0.15406528197848832,0.14241666666666666,6,0.34455517549308223,0.14066406136552714,0.11871826895906869,6,-0.9326009893925341,0.34455517549308223,0.14066406136552714,0.11871826895906869,6,0.9326009893925341
48,Congruent VE,3.65,1,0.40414518843273806,0.23333333333333336,0.16333333333333333,3,0.5666666666666667,0.11072470915965425,0.0639269406392694,0.012259961218490021,3,-0.8447488584474886,0.11072470915965425,0.0639269406392694,0.012259961218490021,3,0.8447488584474886,0.40414518843273795,0.23333333333333328,0.16333333333333327,3,0.3506029035230721,0.20242068072771008,0.12292239595880862,3,-0.895626197789808,0.3506029035230721,0.20242068072771008,0.12292239595880862,3,0.895626197789808
