"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.466961487949317,0.0754562165650732,-6.1885091673873,1.78247554123459e-07
"2","room_conditionSmaller VE",-0.0386131256176005,0.104464401520825,-0.369629510679797,0.713431658873143
