"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Condition",1,72.8086021505377,72.8086021505377,12.4618303897241,0.00140823059278008
"Residuals",29,169.433333333333,5.84252873563219,NA,NA
