"","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","log10(target_distance)",0.923589895818361,0.95,0.88653516656746,1
"2","room_condition",0.018797497413258,0.95,0,1
"3","log10(target_distance):room_condition",0.0163400468863073,0.95,0,1
