"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Condition",2,0.184276488046838,0.0921382440234188,0.118667174564977,0.888201691756553
"Residuals",127,98.6082042811839,0.776442553395149,NA,NA
