nsub,nbloque,itrial,distancia,respuesta
12.0,2.0,5.0,6.65,5.0
12.0,2.0,6.0,9.0,6.0
12.0,2.0,1.0,2.0,0.5
12.0,2.0,6.0,9.0,8.0
12.0,2.0,2.0,2.7,0.5
12.0,2.0,5.0,6.65,8.0
12.0,2.0,6.0,9.0,6.0
12.0,2.0,4.0,4.9,3.0
12.0,2.0,3.0,3.65,3.0
12.0,2.0,5.0,6.65,5.0
12.0,2.0,2.0,2.7,1.0
12.0,2.0,4.0,4.9,4.0
12.0,2.0,3.0,3.65,4.0
12.0,2.0,3.0,3.65,5.0
12.0,2.0,1.0,2.0,1.0
12.0,2.0,4.0,4.9,4.0
12.0,2.0,1.0,2.0,1.0
12.0,2.0,2.0,2.7,3.0
