nsub,nbloque,itrial,distancia,respuesta
5.0,2.0,3.0,3.65,7.0
5.0,2.0,4.0,4.9,9.0
5.0,2.0,6.0,9.0,12.0
5.0,2.0,3.0,3.65,5.0
5.0,2.0,5.0,6.65,8.0
5.0,2.0,6.0,9.0,13.0
5.0,2.0,1.0,2.0,0.4
5.0,2.0,1.0,2.0,0.3
5.0,2.0,1.0,2.0,2.0
5.0,2.0,2.0,2.7,5.0
5.0,2.0,5.0,6.65,9.0
5.0,2.0,6.0,9.0,13.0
5.0,2.0,4.0,4.9,7.0
5.0,2.0,2.0,2.7,1.0
5.0,2.0,2.0,2.7,0.5
5.0,2.0,5.0,6.65,2.0
5.0,2.0,4.0,4.9,6.0
5.0,2.0,3.0,3.65,1.5
