subject,room_condition,target_distance,block,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_m,log_bias_unsigned_sd,log_bias_unsigned_sem,log_bias_unsigned_var,log_bias_unsigned_n,log_bias_unsigned_m
1,No Visual Info,2,1,0.08660254037844387,0.05,0.0075,3,0.19999999999999998,0.043301270189221974,0.025000000000000026,0.0018750000000000034,3,-0.9,0.043301270189221974,0.025000000000000026,0.0018750000000000034,3,0.9,0.08660254037844395,0.05000000000000005,0.007500000000000014,3,0.17379974903075138,0.10034333188799371,0.03020635276315217,3,-1.0245954047203063,0.17379974903075138,0.10034333188799371,0.03020635276315217,3,1.0245954047203063
2,No Visual Info,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.26666666666666666,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.8666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.8666666666666667,0.05773502691896263,0.03333333333333337,0.003333333333333339,3,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,-0.8826058272962125,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,0.8826058272962125
3,No Visual Info,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,2.6666666666666665,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.3333333333333333,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,0.11739417270378749,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,0.11739417270378749
4,No Visual Info,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,2.3333333333333335,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.16666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.16666666666666666,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,0.058697086351893746,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,0.058697086351893746
5,No Visual Info,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.6666666666666667,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.16666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.16666666666666666,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,-0.10034333188799373,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,0.10034333188799373
6,No Visual Info,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.23333333333333334,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.8833333333333333,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.8833333333333333,0.05773502691896263,0.03333333333333337,0.003333333333333339,3,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,-0.9413029136481063,0.1016663358177377,0.05869708635189375,0.010336043838605013,3,0.9413029136481063
7,No Visual Info,2,1,0,0,0,3,2,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0
8,No Visual Info,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.6666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,-0.5017166594399687,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,0.5017166594399687
9,No Visual Info,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.3010299956639812,0,0,0,3,0.3010299956639812
10,No Visual Info,2,1,0.43588989435406733,0.2516611478423583,0.19,3,1,0.21794494717703367,0.12583057392117916,0.0475,3,-0.5,0.21794494717703367,0.12583057392117916,0.0475,3,0.5,0.43588989435406733,0.2516611478423583,0.19,3,0.1767527800413552,0.10204826513689114,0.03124154525234769,3,-0.32627023364335395,0.1767527800413552,0.10204826513689114,0.03124154525234769,3,0.32627023364335395
11,No Visual Info,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.3010299956639812,0,0,0,3,0.3010299956639812
12,No Visual Info,2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.3010299956639812,0,0,0,3,0.3010299956639812
13,No Visual Info,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.6666666666666667,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.16666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.16666666666666666,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,-0.10034333188799373,0.17379974903075143,0.10034333188799374,0.03020635276315218,3,0.10034333188799373
