"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"room_condition",1,0.183011401413464,0.183011401413464,3.59669047374301,0.0675610617993184
"Residuals",30,1.52649834131827,0.0508832780439424,NA,NA
