"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"room_condition",1,0.193080413458349,0.193080413458349,7.58302009983333,0.0099098012684355
"Residuals",30,0.76386615457841,0.0254622051526137,NA,NA
