"nsub" "nbloque" "itrial" "distancia" "respuesta" "condicion_sala"
8 1 4 4.9 0.8 "SALA_CHICA"
8 1 5 6.65 0.83 "SALA_CHICA"
8 1 1 2 0.3 "SALA_CHICA"
8 1 5 6.65 0.4 "SALA_CHICA"
8 1 2 2.7 0.2 "SALA_CHICA"
8 1 6 9 0.85 "SALA_CHICA"
8 1 1 2 0.2 "SALA_CHICA"
8 1 1 2 0.2 "SALA_CHICA"
8 1 4 4.9 0.47 "SALA_CHICA"
8 1 6 9 0.9 "SALA_CHICA"
8 1 2 2.7 0.3 "SALA_CHICA"
8 1 3 3.65 0.3 "SALA_CHICA"
8 1 2 2.7 0.3 "SALA_CHICA"
9 1 4 4.9 2 "SALA_CHICA"
9 1 5 6.65 5 "SALA_CHICA"
9 1 4 4.9 4 "SALA_CHICA"
9 1 1 2 1 "SALA_CHICA"
9 1 1 2 0.3 "SALA_CHICA"
9 1 2 2.7 0.3 "SALA_CHICA"
9 1 4 4.9 5 "SALA_CHICA"
9 1 2 2.7 2 "SALA_CHICA"
9 1 6 9 10 "SALA_CHICA"
9 1 6 9 15 "SALA_CHICA"
9 1 5 6.65 10 "SALA_CHICA"
9 1 2 2.7 1 "SALA_CHICA"
9 1 3 3.65 1 "SALA_CHICA"
9 1 1 2 0.3 "SALA_CHICA"
9 1 3 3.65 0.3 "SALA_CHICA"
9 1 6 9 10 "SALA_CHICA"
9 1 5 6.65 10 "SALA_CHICA"
9 1 3 3.65 2 "SALA_CHICA"
10 1 5 6.65 3 "SALA_CHICA"
10 1 2 2.7 1 "SALA_CHICA"
10 1 4 4.9 3 "SALA_CHICA"
10 1 5 6.65 5 "SALA_CHICA"
10 1 3 3.65 2 "SALA_CHICA"
10 1 1 2 1 "SALA_CHICA"
10 1 3 3.65 2 "SALA_CHICA"
10 1 6 9 7 "SALA_CHICA"
10 1 4 4.9 3 "SALA_CHICA"
10 1 4 4.9 3 "SALA_CHICA"
10 1 2 2.7 2 "SALA_CHICA"
10 1 6 9 7 "SALA_CHICA"
10 1 6 9 10 "SALA_CHICA"
10 1 3 3.65 4 "SALA_CHICA"
10 1 5 6.65 7 "SALA_CHICA"
10 1 1 2 1 "SALA_CHICA"
10 1 1 2 0.5 "SALA_CHICA"
10 1 2 2.7 2 "SALA_CHICA"
11 1 6 9 3 "SALA_CHICA"
11 1 1 2 1.5 "SALA_CHICA"
11 1 1 2 1.5 "SALA_CHICA"
11 1 3 3.65 2 "SALA_CHICA"
11 1 2 2.7 2 "SALA_CHICA"
11 1 1 2 1.5 "SALA_CHICA"
11 1 6 9 3 "SALA_CHICA"
11 1 4 4.9 3 "SALA_CHICA"
11 1 5 6.65 4 "SALA_CHICA"
11 1 4 4.9 3 "SALA_CHICA"
11 1 5 6.65 4 "SALA_CHICA"
11 1 2 2.7 1.5 "SALA_CHICA"
11 1 3 3.65 2 "SALA_CHICA"
