"","Condition","mean","sd","se","n"
"1","Small VE",80.2395348837209,56.4794286398129,8.70477394149727,125
"2","Congruent VE",119.785735465116,72.7425763169913,11.3829736439274,123
"3","Real environment",118.735202297702,63.0830676371083,9.79543224365379,125
