"","Subject","Condition","Dimension","Value","Experiment"
"141",7,"Visual info","Depth",8,2
"142",8,"No visual info","Depth",3,2
"143",8,"Visual info","Depth",6,2
"144",9,"No visual info","Depth",6,2
"145",9,"Visual info","Depth",12,2
"146",10,"No visual info","Depth",10,2
"147",11,"No visual info","Depth",8,2
"148",11,"Visual info","Depth",6,2
"149",12,"No visual info","Depth",3,2
"150",12,"Visual info","Depth",8,2
"151",13,"No visual info","Depth",3,2
"152",13,"Visual info","Depth",6,2
"153",14,"No visual info","Depth",6,2
"154",14,"Visual info","Depth",10,2
"155",15,"No visual info","Depth",10,2
"156",15,"Visual info","Depth",8,2
"157",17,"No visual info","Depth",10,2
"158",18,"No visual info","Depth",6,2
"159",18,"Visual info","Depth",10,2
"160",19,"No visual info","Depth",4,2
"161",19,"Visual info","Depth",5,2
"162",20,"No visual info","Depth",5,2
"163",20,"Visual info","Depth",8.5,2
"164",1,"Visual info","Width",3,2
"165",3,"No visual info","Width",3,2
"166",3,"Visual info","Width",6,2
"167",4,"No visual info","Width",3,2
"168",4,"Visual info","Width",4,2
"169",5,"No visual info","Width",3,2
"170",5,"Visual info","Width",6,2
"171",6,"No visual info","Width",4,2
"172",6,"Visual info","Width",5,2
"173",7,"No visual info","Width",5,2
"174",7,"Visual info","Width",5,2
"175",8,"No visual info","Width",5,2
"176",8,"Visual info","Width",8,2
"177",9,"No visual info","Width",6,2
"178",9,"Visual info","Width",6,2
"179",10,"No visual info","Width",7,2
"180",10,"Visual info","Width",8,2
"181",11,"No visual info","Width",4,2
"182",11,"Visual info","Width",4,2
"183",12,"Visual info","Width",5,2
"184",13,"No visual info","Width",4.5,2
"185",13,"Visual info","Width",4.5,2
"186",14,"No visual info","Width",6,2
"187",15,"No visual info","Width",7,2
"188",15,"Visual info","Width",5.5,2
"189",18,"No visual info","Width",6,2
"190",18,"Visual info","Width",6,2
"191",19,"No visual info","Width",2,2
"192",19,"Visual info","Width",3,2
"193",20,"No visual info","Width",5,2
"194",20,"Visual info","Width",5,2
"195",1,"Visual info","Height",2.5,2
"196",2,"Visual info","Height",5,2
"197",3,"No visual info","Height",3,2
"198",3,"Visual info","Height",3,2
"199",4,"No visual info","Height",3,2
"200",4,"Visual info","Height",3,2
"201",5,"No visual info","Height",3,2
"202",5,"Visual info","Height",3,2
"203",6,"No visual info","Height",3,2
"204",6,"Visual info","Height",3.5,2
"205",7,"No visual info","Height",4,2
"206",7,"Visual info","Height",4,2
"207",9,"No visual info","Height",4,2
"208",9,"Visual info","Height",4,2
"209",10,"No visual info","Height",3,2
"210",10,"Visual info","Height",3,2
"211",11,"Visual info","Height",2.5,2
"212",12,"No visual info","Height",2.5,2
"213",12,"Visual info","Height",3,2
"214",13,"No visual info","Height",3,2
"215",13,"Visual info","Height",2.8,2
"216",16,"No visual info","Height",3,2
"217",16,"Visual info","Height",3,2
"218",17,"No visual info","Height",5,2
"219",17,"Visual info","Height",3,2
"220",18,"No visual info","Height",3,2
"221",18,"Visual info","Height",4,2
"222",19,"No visual info","Height",2,2
"223",19,"Visual info","Height",2,2
"224",20,"No visual info","Height",3,2
"225",20,"Visual info","Height",3.5,2
"226",1,"No visual info","Depth",17,3
"227",1,"Congruent VE","Depth",12,3
"228",2,"No visual info","Depth",10,3
"229",2,"Congruent VE","Depth",10,3
"230",3,"No visual info","Depth",3,3
"231",3,"Congruent VE","Depth",4.5,3
"232",4,"No visual info","Depth",12,3
"233",4,"Congruent VE","Depth",13,3
"234",5,"No visual info","Depth",4,3
"235",5,"Congruent VE","Depth",6,3
"236",6,"No visual info","Depth",4,3
"237",6,"Congruent VE","Depth",6,3
"238",7,"Congruent VE","Depth",5,3
"239",8,"No visual info","Depth",4,3
"240",8,"Congruent VE","Depth",6,3
"241",9,"No visual info","Depth",5,3
"242",9,"Congruent VE","Depth",10,3
"243",11,"No visual info","Depth",6,3
"244",11,"Congruent VE","Depth",7,3
"245",12,"No visual info","Depth",2,3
"246",12,"Congruent VE","Depth",6,3
"247",14,"No visual info","Depth",4,3
"248",14,"Congruent VE","Depth",8,3
"249",15,"No visual info","Depth",6,3
"250",15,"Congruent VE","Depth",10,3
"251",16,"No visual info","Depth",15,3
"252",16,"Congruent VE","Depth",15,3
"253",17,"No visual info","Depth",5,3
"254",17,"Congruent VE","Depth",6,3
"255",18,"No visual info","Depth",11,3
"256",19,"No visual info","Depth",3.5,3
"257",19,"Congruent VE","Depth",5,3
"258",20,"No visual info","Depth",4,3
"259",20,"Congruent VE","Depth",10,3
"260",1,"No visual info","Width",7,3
"261",1,"Congruent VE","Width",5,3
"262",2,"No visual info","Width",8,3
"263",2,"Congruent VE","Width",7,3
"264",3,"No visual info","Width",2,3
"265",3,"Congruent VE","Width",3.5,3
"266",5,"No visual info","Width",4,3
"267",5,"Congruent VE","Width",5,3
"268",6,"No visual info","Width",3,3
"269",6,"Congruent VE","Width",2,3
"270",7,"Congruent VE","Width",2.5,3
"271",8,"No visual info","Width",4,3
"272",8,"Congruent VE","Width",3.5,3
"273",9,"No visual info","Width",5,3
"274",9,"Congruent VE","Width",6,3
"275",11,"No visual info","Width",6,3
"276",11,"Congruent VE","Width",5,3
"277",12,"No visual info","Width",2,3
"278",12,"Congruent VE","Width",4,3
"279",13,"Congruent VE","Width",5,3
"280",14,"No visual info","Width",2,3
"281",14,"Congruent VE","Width",3.5,3
"282",15,"No visual info","Width",5,3
"283",15,"Congruent VE","Width",6,3
"284",16,"No visual info","Width",6,3
"285",16,"Congruent VE","Width",7.5,3
"286",17,"No visual info","Width",5,3
"287",17,"Congruent VE","Width",5,3
"288",19,"No visual info","Width",3.5,3
"289",19,"Congruent VE","Width",4,3
