Parameter,Eta2_partial,CI,CI_low,CI_high
target_distance,0.0016207004817047235,0.95,0,1
room_condition,1.1062850735843751e-4,0.95,0,1
target_distance:room_condition,0.004838903576324093,0.95,0,1
