Parameter,Eta2_partial,CI,CI_low,CI_high
target_distance,0.023114404022208712,0.95,0,1
room_condition,8.065963199329995e-4,0.95,0,1
target_distance:room_condition,0.0030267371617152166,0.95,0,1
