"","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","log10(target_distance)",0.915449188250084,0.95,0.877625501939037,1
"2","room_condition",1.98129510469309e-06,0.95,0,1
"3","log10(target_distance):room_condition",0.00348895243542999,0.95,0,1
