"nsub" "intercept" "coef" "r.squared" "condicion_sala"
3 -0.0243241546428738 0.411050523198327 0.771531145643155 "OSCURAS"
4 -0.440329692643413 0.835123237736064 0.894968039265395 "OSCURAS"
5 -0.355020681076675 0.890580158514842 0.886312834629476 "OSCURAS"
6 -1.42858764785008 1.15048081476612 0.97461813396256 "OSCURAS"
7 -1.05401191615938 0.869068124049833 0.817338221803385 "OSCURAS"
8 0.284315864798131 0.830152739929814 0.804441973181658 "OSCURAS"
9 0.0597507316155884 0.489994441497435 0.884639439239965 "OSCURAS"
11 -1.82276591031225 1.05936453049274 0.539349657670768 "OSCURAS"
12 -0.537364418391183 0.605385552771947 0.57385491761079 "OSCURAS"
13 -0.256336556022371 0.422989838824393 0.788377414481877 "OSCURAS"
14 0.18937593427048 0.8467625629202 0.881021497792167 "OSCURAS"
15 -0.179576766642973 0.791460257115588 0.883686606418468 "OSCURAS"
17 -0.554893065223959 1.12112730253536 0.89051273258404 "OSCURAS"
18 -2.64601194951866 1.32701439690903 0.864013764825975 "OSCURAS"
19 -1.89124707902976 1.43103691529373 0.951805818623594 "OSCURAS"
20 -0.583244230526199 0.89779241975507 0.967897693722925 "OSCURAS"
3 0.242330734127684 0.548781315444647 0.845740085780822 "VISUAL"
4 -0.670506669356446 0.895123467029178 0.890749007880592 "VISUAL"
5 0.0234076696721168 0.89503971534551 0.821750310986632 "VISUAL"
6 -0.831791625991962 1.11879511391889 0.965117506553563 "VISUAL"
7 -0.80933250956235 1.1642904043996 0.958029532943085 "VISUAL"
8 0.0243569137968066 0.776727594207297 0.776492277495706 "VISUAL"
9 -0.199770380128564 0.830353180396267 0.994899918215725 "VISUAL"
11 -0.150457450998155 0.62708683954303 0.879234289364103 "VISUAL"
12 -0.661577658943789 0.917792952779228 0.911852053354692 "VISUAL"
13 -0.21063953999482 0.680501792379708 0.964914739342393 "VISUAL"
14 0.0916402556613888 0.862745204599965 0.766374660072301 "VISUAL"
15 -0.0666880137236594 0.787559764234152 0.890879832281351 "VISUAL"
17 -0.773369972805128 1.26832701401729 0.987359404358019 "VISUAL"
18 0.175138713052839 0.646620077863848 0.737669093894894 "VISUAL"
19 -1.27605042405277 1.01409699737605 0.877305686752049 "VISUAL"
20 0.00411169229145547 0.904474672270989 0.813995814997189 "VISUAL"
