"nsub" "intercept" "coef" "r.squared" "condicion_sala"
1 0.192090726075809 0.286940775324727 0.902317567025057 "OSCURAS"
2 0.0674290338757745 0.635653040911693 0.82982025966231 "OSCURAS"
3 -1.57093351731906 1.17977038456829 0.974726014094875 "OSCURAS"
4 -0.38960650492222 1.00969664429637 0.961227876956534 "OSCURAS"
5 -0.154843512708566 0.539898650959109 0.925713996538917 "OSCURAS"
6 -1.75773018150597 1.22283170161048 0.949557422178645 "OSCURAS"
7 -2.09059854584506 0.592248109195615 0.506619940505797 "OSCURAS"
8 -1.39288024713924 0.80734459853535 0.610168945067224 "OSCURAS"
9 0.102339730351082 0.73169064354139 0.94508418264227 "OSCURAS"
11 -0.0759752391869725 0.833893066712917 0.864498998224618 "OSCURAS"
12 -1.09247696384661 0.946718469714982 0.730696042883745 "OSCURAS"
13 -2.66340566277464 1.90537810287283 0.825921959211119 "OSCURAS"
14 -0.772142375199381 0.772156858122646 0.93222515149391 "OSCURAS"
15 0.5100278707356 0.33547812211283 0.822913076796864 "OSCURAS"
16 -0.328867139147852 0.606692789370628 0.886355403797415 "OSCURAS"
17 -1.3546752629756 1.23874349441907 0.780472663798004 "OSCURAS"
19 -2.06142549284897 1.19181316716003 0.965324343633512 "OSCURAS"
20 -0.86704398136692 0.923029871356516 0.972941797971877 "OSCURAS"
1 -0.298189993885979 0.557706890555362 0.703927883215154 "VR"
2 0.0787776265155433 0.499950429813788 0.939727354624394 "VR"
3 -0.923826648457497 1.17503688960999 0.862475765748213 "VR"
4 -0.236614959114377 0.7971628853137 0.893044571814685 "VR"
5 -0.423719842054971 0.545175715769185 0.943298359683178 "VR"
6 -2.20597863237613 1.39742010798642 0.898775816893683 "VR"
7 -1.95761988455617 0.707353017138027 0.50005299206272 "VR"
8 -1.40888799120494 1.01352873326791 0.882455261345775 "VR"
9 -0.648018184850117 1.17374945061586 0.923262220292759 "VR"
11 -0.814168636208097 1.08147371732562 0.891898240133531 "VR"
12 -0.828540950205633 0.688592294390011 0.661190598866187 "VR"
13 -2.95977099496665 2.15829852449776 0.909954184727232 "VR"
14 -0.516017428124055 0.725466658244558 0.776375683174459 "VR"
15 0.704223425593607 0.295273706061103 0.842421225365529 "VR"
16 -0.851399648424082 0.544550911910941 0.831747881169064 "VR"
17 -0.531198608430772 0.865612013265276 0.951640547977209 "VR"
19 -1.74634143408284 0.994154238751368 0.834631034170078 "VR"
20 -1.64712970735405 1.21879183017527 0.948446443702804 "VR"
