"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"room_condition",1,0.00679602169978569,0.00679602169978569,0.0648472064713305,0.799586697114084
"Residuals",88,9.22244676562196,0.104800531427522,NA,NA
