"","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","target_distance",0.320417434477967,0.95,0.0840166068157621,1
"2","room_condition",0.00482190929167338,0.95,0,1
"3","target_distance:room_condition",0.00172664617017902,0.95,0,1
