"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala" "SesgoAbs" "SesgoRel"
6 1 2 2.7 2 "SALA_CHICA" -0.7 -0.259259259259259
6 1 5 6.65 5 "SALA_CHICA" -1.65 -0.24812030075188
6 1 4 4.9 3 "SALA_CHICA" -1.9 -0.387755102040816
7 1 5 6.65 2 "SALA_GRANDE" -4.65 -0.699248120300752
7 1 3 3.65 1 "SALA_GRANDE" -2.65 -0.726027397260274
7 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
7 1 6 9 3 "SALA_GRANDE" -6 -0.666666666666667
7 1 6 9 2.5 "SALA_GRANDE" -6.5 -0.722222222222222
7 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
7 1 5 6.65 3.2 "SALA_GRANDE" -3.45 -0.518796992481203
7 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
7 1 5 6.65 3 "SALA_GRANDE" -3.65 -0.548872180451128
7 1 2 2.7 0.5 "SALA_GRANDE" -2.2 -0.814814814814815
7 1 3 3.65 0.75 "SALA_GRANDE" -2.9 -0.794520547945205
7 1 4 4.9 1 "SALA_GRANDE" -3.9 -0.795918367346939
7 1 2 2.7 0.5 "SALA_GRANDE" -2.2 -0.814814814814815
7 1 4 4.9 1 "SALA_GRANDE" -3.9 -0.795918367346939
7 1 1 2 0.4 "SALA_GRANDE" -1.6 -0.8
7 1 6 9 2 "SALA_GRANDE" -7 -0.777777777777778
7 1 3 3.65 0.75 "SALA_GRANDE" -2.9 -0.794520547945205
7 1 4 4.9 1 "SALA_GRANDE" -3.9 -0.795918367346939
8 1 6 9 4.5 "SALA_CHICA" -4.5 -0.5
8 1 3 3.65 4 "SALA_CHICA" 0.35 0.0958904109589041
8 1 3 3.65 5.25 "SALA_CHICA" 1.6 0.438356164383562
8 1 1 2 1 "SALA_CHICA" -1 -0.5
8 1 4 4.9 3.5 "SALA_CHICA" -1.4 -0.285714285714286
8 1 6 9 6 "SALA_CHICA" -3 -0.333333333333333
8 1 6 9 8 "SALA_CHICA" -1 -0.111111111111111
8 1 5 6.65 9 "SALA_CHICA" 2.35 0.353383458646616
8 1 4 4.9 4.5 "SALA_CHICA" -0.4 -0.0816326530612246
8 1 2 2.7 2 "SALA_CHICA" -0.7 -0.259259259259259
8 1 2 2.7 2.2 "SALA_CHICA" -0.5 -0.185185185185185
8 1 1 2 1.5 "SALA_CHICA" -0.5 -0.25
8 1 4 4.9 3.2 "SALA_CHICA" -1.7 -0.346938775510204
8 1 5 6.65 5 "SALA_CHICA" -1.65 -0.24812030075188
8 1 3 3.65 5.5 "SALA_CHICA" 1.85 0.506849315068493
8 1 2 2.7 3 "SALA_CHICA" 0.3 0.111111111111111
8 1 1 2 1.5 "SALA_CHICA" -0.5 -0.25
8 1 5 6.65 4.5 "SALA_CHICA" -2.15 -0.323308270676692
9 1 1 2 1.5 "SALA_GRANDE" -0.5 -0.25
9 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
9 1 4 4.9 2 "SALA_GRANDE" -2.9 -0.591836734693878
9 1 4 4.9 2 "SALA_GRANDE" -2.9 -0.591836734693878
9 1 6 9 3.5 "SALA_GRANDE" -5.5 -0.611111111111111
9 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
9 1 5 6.65 7 "SALA_GRANDE" 0.35 0.0526315789473684
9 1 3 3.65 2 "SALA_GRANDE" -1.65 -0.452054794520548
9 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
9 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
9 1 4 4.9 2 "SALA_GRANDE" -2.9 -0.591836734693878
9 1 6 9 7 "SALA_GRANDE" -2 -0.222222222222222
9 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
9 1 6 9 7.5 "SALA_GRANDE" -1.5 -0.166666666666667
9 1 3 3.65 3 "SALA_GRANDE" -0.65 -0.178082191780822
9 1 3 3.65 2 "SALA_GRANDE" -1.65 -0.452054794520548
9 1 5 6.65 4 "SALA_GRANDE" -2.65 -0.398496240601504
9 1 5 6.65 3.5 "SALA_GRANDE" -3.15 -0.473684210526316
10 1 2 2.7 1 "SALA_CHICA" -1.7 -0.62962962962963
10 1 3 3.65 1.5 "SALA_CHICA" -2.15 -0.589041095890411
10 1 1 2 1 "SALA_CHICA" -1 -0.5
10 1 6 9 4 "SALA_CHICA" -5 -0.555555555555556
10 1 1 2 1 "SALA_CHICA" -1 -0.5
10 1 2 2.7 1.5 "SALA_CHICA" -1.2 -0.444444444444444
10 1 5 6.65 2.5 "SALA_CHICA" -4.15 -0.62406015037594
10 1 3 3.65 1 "SALA_CHICA" -2.65 -0.726027397260274
10 1 2 2.7 1 "SALA_CHICA" -1.7 -0.62962962962963
10 1 4 4.9 2.5 "SALA_CHICA" -2.4 -0.489795918367347
10 1 1 2 1.5 "SALA_CHICA" -0.5 -0.25
10 1 5 6.65 4 "SALA_CHICA" -2.65 -0.398496240601504
10 1 3 3.65 2.5 "SALA_CHICA" -1.15 -0.315068493150685
10 1 6 9 3.5 "SALA_CHICA" -5.5 -0.611111111111111
10 1 4 4.9 2 "SALA_CHICA" -2.9 -0.591836734693878
10 1 6 9 4 "SALA_CHICA" -5 -0.555555555555556
10 1 5 6.65 4.5 "SALA_CHICA" -2.15 -0.323308270676692
10 1 4 4.9 2.5 "SALA_CHICA" -2.4 -0.489795918367347
11 1 3 3.65 2 "SALA_GRANDE" -1.65 -0.452054794520548
11 1 3 3.65 2.5 "SALA_GRANDE" -1.15 -0.315068493150685
11 1 6 9 4 "SALA_GRANDE" -5 -0.555555555555556
11 1 2 2.7 1.5 "SALA_GRANDE" -1.2 -0.444444444444444
11 1 5 6.65 2 "SALA_GRANDE" -4.65 -0.699248120300752
11 1 1 2 1 "SALA_GRANDE" -1 -0.5
11 1 2 2.7 1.5 "SALA_GRANDE" -1.2 -0.444444444444444
11 1 5 6.65 5 "SALA_GRANDE" -1.65 -0.24812030075188
11 1 2 2.7 3 "SALA_GRANDE" 0.3 0.111111111111111
11 1 1 2 2 "SALA_GRANDE" 0 0
11 1 4 4.9 4.5 "SALA_GRANDE" -0.4 -0.0816326530612246
11 1 5 6.65 5 "SALA_GRANDE" -1.65 -0.24812030075188
11 1 6 9 5.5 "SALA_GRANDE" -3.5 -0.388888888888889
11 1 1 2 2 "SALA_GRANDE" 0 0
11 1 4 4.9 2.5 "SALA_GRANDE" -2.4 -0.489795918367347
11 1 4 4.9 2.5 "SALA_GRANDE" -2.4 -0.489795918367347
11 1 3 3.65 3 "SALA_GRANDE" -0.65 -0.178082191780822
11 1 6 9 4.5 "SALA_GRANDE" -4.5 -0.5
12 1 5 6.65 1.2 "SALA_GRANDE" -5.45 -0.819548872180451
12 1 6 9 1.5 "SALA_GRANDE" -7.5 -0.833333333333333
12 1 2 2.7 0.5 "SALA_GRANDE" -2.2 -0.814814814814815
12 1 3 3.65 0.5 "SALA_GRANDE" -3.15 -0.863013698630137
12 1 1 2 0.4 "SALA_GRANDE" -1.6 -0.8
12 1 6 9 0.8 "SALA_GRANDE" -8.2 -0.911111111111111
12 1 4 4.9 1 "SALA_GRANDE" -3.9 -0.795918367346939
12 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
12 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
12 1 4 4.9 0.5 "SALA_GRANDE" -4.4 -0.897959183673469
12 1 2 2.7 0.5 "SALA_GRANDE" -2.2 -0.814814814814815
12 1 1 2 0.4 "SALA_GRANDE" -1.6 -0.8
12 1 3 3.65 1.2 "SALA_GRANDE" -2.45 -0.671232876712329
12 1 5 6.65 1.5 "SALA_GRANDE" -5.15 -0.774436090225564
12 1 4 4.9 1 "SALA_GRANDE" -3.9 -0.795918367346939
12 1 5 6.65 1.2 "SALA_GRANDE" -5.45 -0.819548872180451
12 1 3 3.65 1 "SALA_GRANDE" -2.65 -0.726027397260274
12 1 6 9 2 "SALA_GRANDE" -7 -0.777777777777778
21 1 2 2.7 5 "SALA_CHICA" 2.3 0.851851851851852
21 1 3 3.65 5.1 "SALA_CHICA" 1.45 0.397260273972603
21 1 1 2 2 "SALA_CHICA" 0 0
21 1 6 9 5.5 "SALA_CHICA" -3.5 -0.388888888888889
21 1 1 2 1.5 "SALA_CHICA" -0.5 -0.25
21 1 2 2.7 2.5 "SALA_CHICA" -0.2 -0.0740740740740741
21 1 5 6.65 6 "SALA_CHICA" -0.65 -0.0977443609022557
21 1 3 3.65 4 "SALA_CHICA" 0.35 0.0958904109589041
21 1 2 2.7 2 "SALA_CHICA" -0.7 -0.259259259259259
21 1 4 4.9 2.5 "SALA_CHICA" -2.4 -0.489795918367347
21 1 1 2 1 "SALA_CHICA" -1 -0.5
21 1 5 6.65 3 "SALA_CHICA" -3.65 -0.548872180451128
21 1 3 3.65 3.5 "SALA_CHICA" -0.15 -0.0410958904109589
21 1 6 9 5 "SALA_CHICA" -4 -0.444444444444444
21 1 4 4.9 3 "SALA_CHICA" -1.9 -0.387755102040816
21 1 6 9 5 "SALA_CHICA" -4 -0.444444444444444
21 1 5 6.65 4 "SALA_CHICA" -2.65 -0.398496240601504
21 1 4 4.9 2 "SALA_CHICA" -2.9 -0.591836734693878
23 1 4 4.9 10 "SALA_CHICA" 5.1 1.04081632653061
23 1 4 4.9 8 "SALA_CHICA" 3.1 0.63265306122449
23 1 3 3.65 4 "SALA_CHICA" 0.35 0.0958904109589041
23 1 6 9 10 "SALA_CHICA" 1 0.111111111111111
23 1 6 9 4 "SALA_CHICA" -5 -0.555555555555556
23 1 5 6.65 2 "SALA_CHICA" -4.65 -0.699248120300752
23 1 4 4.9 1 "SALA_CHICA" -3.9 -0.795918367346939
