"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala" "SesgoAbs" "SesgoRel"
5 1 2 2.7 1.5 "OSCURAS" -1.2 -0.444444444444444
5 1 4 4.9 2 "OSCURAS" -2.9 -0.591836734693878
5 1 4 4.9 2 "OSCURAS" -2.9 -0.591836734693878
5 1 5 6.65 2.5 "OSCURAS" -4.15 -0.62406015037594
5 1 5 6.65 2.5 "OSCURAS" -4.15 -0.62406015037594
5 1 1 2 1.5 "OSCURAS" -0.5 -0.25
5 1 2 2.7 1.5 "OSCURAS" -1.2 -0.444444444444444
5 1 4 4.9 1.5 "OSCURAS" -3.4 -0.693877551020408
5 1 1 2 1 "OSCURAS" -1 -0.5
5 1 1 2 1 "OSCURAS" -1 -0.5
5 1 5 6.65 2 "OSCURAS" -4.65 -0.699248120300752
5 1 2 2.7 1.5 "OSCURAS" -1.2 -0.444444444444444
5 1 6 9 2.5 "OSCURAS" -6.5 -0.722222222222222
5 1 6 9 3 "OSCURAS" -6 -0.666666666666667
5 2 3 3.65 1 "VR" -2.65 -0.726027397260274
5 2 4 4.9 1.5 "VR" -3.4 -0.693877551020408
5 2 6 9 2 "VR" -7 -0.777777777777778
5 2 3 3.65 1 "VR" -2.65 -0.726027397260274
5 2 5 6.65 2 "VR" -4.65 -0.699248120300752
5 2 6 9 2 "VR" -7 -0.777777777777778
5 2 1 2 1 "VR" -1 -0.5
5 2 1 2 1 "VR" -1 -0.5
5 2 1 2 1 "VR" -1 -0.5
5 2 2 2.7 1.5 "VR" -1.2 -0.444444444444444
5 2 5 6.65 2 "VR" -4.65 -0.699248120300752
5 2 6 9 2.5 "VR" -6.5 -0.722222222222222
5 2 4 4.9 1.5 "VR" -3.4 -0.693877551020408
5 2 2 2.7 1 "VR" -1.7 -0.62962962962963
5 2 2 2.7 1 "VR" -1.7 -0.62962962962963
5 2 5 6.65 2 "VR" -4.65 -0.699248120300752
5 2 4 4.9 1.5 "VR" -3.4 -0.693877551020408
5 2 3 3.65 1.5 "VR" -2.15 -0.589041095890411
6 1 4 4.9 1.5 "OSCURAS" -3.4 -0.693877551020408
6 1 6 9 2 "OSCURAS" -7 -0.777777777777778
6 1 2 2.7 1 "OSCURAS" -1.7 -0.62962962962963
6 1 3 3.65 1.5 "OSCURAS" -2.15 -0.589041095890411
6 1 5 6.65 2 "OSCURAS" -4.65 -0.699248120300752
6 1 1 2 0.5 "OSCURAS" -1.5 -0.75
6 1 6 9 2.2 "OSCURAS" -6.8 -0.755555555555556
