"nsub" "intercept" "coef" "condicion_sala" "r.squared"
1 0.11772671933721 0.354334439324015 "SALA_GRANDE" 0.887578188143959
2 -2.35145995311263 1.09511135251499 "SALA_CHICA" 0.994274928601622
3 -1.36370774728143 0.768521516476304 "SALA_GRANDE" 0.810018826705329
4 -0.503107341197472 1.30808078584914 "SALA_CHICA" 0.941262549817785
6 -1.63437319216493 1.48241044578787 "SALA_CHICA" 0.927229349190997
7 -1.66343347639382 1.21822208892501 "SALA_GRANDE" 0.911154803589611
8 -0.116925622611901 0.971225674440984 "SALA_CHICA" 0.815377307997089
9 -1.19620048341708 1.37408723240259 "SALA_GRANDE" 0.931894887981153
10 -0.615633722090788 0.923927219266356 "SALA_CHICA" 0.946982117360574
11 0.00901229180867636 0.709474122096175 "SALA_GRANDE" 0.996542942319609
12 -1.23712313216943 0.752200193019353 "SALA_GRANDE" 0.922642116237357
13 -0.913372351160562 0.943854815710358 "SALA_CHICA" 0.795244318507543
14 -1.13718062759812 1.1739351316792 "SALA_GRANDE" 0.850235233780903
15 -1.14664898974627 0.665238092466557 "SALA_CHICA" 0.599275380549735
16 -0.553407717950038 0.807208618425166 "SALA_GRANDE" 0.882589370748924
17 -2.16569731949474 1.38722639792756 "SALA_CHICA" 0.970339405111183
18 -0.788265303760063 0.787966886105342 "SALA_GRANDE" 0.9561893492785
19 -2.09503759204067 1.1367873596781 "SALA_CHICA" 0.887231871098297
20 -3.0045628946999 1.55000497808227 "SALA_GRANDE" 0.665751739902858
21 0.26123696508412 0.629246744835474 "SALA_CHICA" 0.607506374199547
23 -0.445844997865488 1.19706969122151 "SALA_CHICA" 0.47449611323593
24 -1.19063420541262 0.9027532130642 "SALA_GRANDE" 0.792391037448834
25 -1.30766155797138 1.34474932740892 "SALA_CHICA" 0.783309420753656
26 -1.38643718233923 1.02751955514582 "SALA_GRANDE" 0.842333806209317
27 -0.00452993817333952 0.716859123863391 "SALA_CHICA" 0.882393808108138
29 -0.875469942886367 1.06759568906499 "SALA_CHICA" 0.833978511195537
30 -1.20104296245362 1.1772450937116 "SALA_GRANDE" 0.840855745561093
31 -2.90276610465026 1.20682273983399 "SALA_CHICA" 0.910221752962897
32 -1.60757978277233 1.54809889381148 "SALA_GRANDE" 0.88933352715734
33 -0.22024693453673 1.28634177458844 "SALA_CHICA" 0.966759870526755
34 0.0153085787250111 0.964139930901349 "SALA_GRANDE" 0.830706410623174
35 -1.7026249392063 1.55365767713285 "SALA_CHICA" 0.883821909237778
36 -0.633133327867879 0.712119599964212 "SALA_GRANDE" 0.576876693092011
37 0.0996372170671384 0.875437386583433 "SALA_GRANDE" 0.675726106802087
37 0.0996372170671384 0.875437386583433 "SALA_CHICA" 0.675726106802087
39 -0.81688613339561 1.12398962425587 "SALA_CHICA" 0.865636874427879
40 -0.458523254475118 0.867762757332182 "SALA_GRANDE" 0.945119362888566
41 -0.311854102895358 0.538534394048957 "SALA_CHICA" 0.745270908904267
42 -1.39480420802147 1.07505342612026 "SALA_GRANDE" 0.921768510486533
43 -2.13411641014039 0.808998915691032 "SALA_CHICA" 0.618066251742911
44 -0.640441003335797 1.01621236848477 "SALA_GRANDE" 0.755888726602207
45 0.439875561681684 0.623386934139616 "SALA_CHICA" 0.932475549852491
46 -2.97407860917071 1.9745272893393 "SALA_GRANDE" 0.941724142624499
47 -0.483911682253427 1.45009964071847 "SALA_CHICA" 0.788175176577071
48 -2.38279796544142 1.23589430400084 "SALA_GRANDE" 0.717013134494527
49 -1.07643265194529 0.7697217193466 "SALA_CHICA" 0.752240104460485
50 -0.298089151368856 0.813722705255211 "SALA_GRANDE" 0.93936085108787
