"","Condition","mean","sd","se","n"
"1","No visual information",96.9659090909091,76.7293384411017,21.259901438086,38
"2","Virtual environment",170.552884615385,96.7635672695109,28.6662690129085,35
"3","Real environment",220.968,94.5648747111889,26.8196249254694,37
