"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"target_distance",0.000267179332253339,0.000267179332253339,1,24.6844637364703,0.193936483481552,0.663492680525508
"room_condition",0.00516466435584847,0.00516466435584847,1,160.396570006243,3.74885600277659,0.0546017796449141
"target_distance:room_condition",0.00187896074024469,0.00187896074024469,1,197.68313590038,1.36387435169359,0.244273747745301
