"","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","target_distance",0.0392828381398976,0.95,0,1
"2","room_condition",0.188924586318116,0.95,0.0257413659138315,1
"3","target_distance:room_condition",2.04079276558809e-06,0.95,0,1
