"","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","log10(target_distance)",0.0709459263420455,0.95,0,1
"2","room_condition",0.203587849899932,0.95,0.051886186433699,1
"3","log10(target_distance):room_condition",0.00858485587211994,0.95,0,1
