"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Condition",2,167.760715001707,83.8803575008536,8.39138638268692,0.000376319844570128
"Residuals",128,1279.4889033189,9.99600705717893,NA,NA
