nsub,nbloque,itrial,distancia,respuesta
17.0,1.0,3.0,3.65,3.0
17.0,1.0,5.0,6.65,4.0
17.0,1.0,4.0,4.9,5.0
17.0,1.0,3.0,3.65,5.0
17.0,1.0,4.0,4.9,6.0
17.0,1.0,4.0,4.9,6.0
17.0,1.0,1.0,2.0,2.0
17.0,1.0,1.0,2.0,2.0
17.0,1.0,1.0,2.0,2.0
17.0,1.0,2.0,2.7,3.0
17.0,1.0,6.0,9.0,6.0
17.0,1.0,6.0,9.0,7.0
17.0,1.0,2.0,2.7,5.0
17.0,1.0,5.0,6.65,6.0
17.0,1.0,3.0,3.65,5.0
17.0,1.0,6.0,9.0,7.0
17.0,1.0,2.0,2.7,6.0
17.0,1.0,5.0,6.65,7.0
