"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Condition",2,19.6410557184751,9.82052785923754,3.35186456188515,0.049538905934068
"Residuals",28,82.0363636363637,2.92987012987013,NA,NA
